,Zip Code,Community,Zip Code Latitude,Zip Code Longitude,Venue,Venue Category,City
0,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
1,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
3,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
8,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
12,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
13,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
18,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
19,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
20,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
22,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
23,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
24,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
25,90650,Norwalk,33.906914,-118.08339,Jack in the Box,Fast Food Restaurant,Norwalk
28,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
31,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
32,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
33,90650,Norwalk,33.906914,-118.08339,Denny's,Breakfast Spot,Norwalk
36,90650,Norwalk,33.906914,-118.08339,Rainbow Donuts,Donut Shop,Norwalk
37,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
38,90650,Norwalk,33.906914,-118.08339,The Habit Burger Grill,Burger Joint,Norwalk
39,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
40,90650,Norwalk,33.906914,-118.08339,Suhwon BBQ,Korean Restaurant,Norwalk
42,90650,Norwalk,33.906914,-118.08339,Northgate Gonzalez Markets,Supermarket,Norwalk
47,90650,Norwalk,33.906914,-118.08339,Outback Steakhouse,Steakhouse,Norwalk
48,90650,Norwalk,33.906914,-118.08339,Tacos Los Gueros,Mexican Restaurant,Norwalk
50,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
51,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
55,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
57,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
60,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
63,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
68,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
69,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
70,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
71,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
73,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
74,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
75,90650,Norwalk,33.906914,-118.08339,Jack in the Box,Fast Food Restaurant,Norwalk
77,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
81,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
82,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
83,90650,Norwalk,33.906914,-118.08339,Denny's,Breakfast Spot,Norwalk
86,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
87,90650,Norwalk,33.906914,-118.08339,Rainbow Donuts,Donut Shop,Norwalk
88,90650,Norwalk,33.906914,-118.08339,The Habit Burger Grill,Burger Joint,Norwalk
89,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
91,90650,Norwalk,33.906914,-118.08339,Suhwon BBQ,Korean Restaurant,Norwalk
92,90650,Norwalk,33.906914,-118.08339,Northgate Gonzalez Markets,Supermarket,Norwalk
97,90650,Norwalk,33.906914,-118.08339,Outback Steakhouse,Steakhouse,Norwalk
98,90650,Norwalk,33.906914,-118.08339,Tacos Los Gueros,Mexican Restaurant,Norwalk
100,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
104,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
105,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
108,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
110,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
113,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
118,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
119,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
120,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
121,90650,Norwalk,33.906914,-118.08339,Chick-fil-A,Fast Food Restaurant,Norwalk
122,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
124,90650,Norwalk,33.906914,-118.08339,Tacos Gavilan,Taco Place,Norwalk
125,90650,Norwalk,33.906914,-118.08339,Jack in the Box,Fast Food Restaurant,Norwalk
127,90650,Norwalk,33.906914,-118.08339,Panera Bread,Coffee Shop,Norwalk
131,90650,Norwalk,33.906914,-118.08339,Denny's,Breakfast Spot,Norwalk
132,90650,Norwalk,33.906914,-118.08339,Taco Bell/Pizza Hut,Fast Food Restaurant,Norwalk
133,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
136,90650,Norwalk,33.906914,-118.08339,Rainbow Donuts,Donut Shop,Norwalk
137,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
138,90650,Norwalk,33.906914,-118.08339,The Habit Burger Grill,Burger Joint,Norwalk
139,90650,Norwalk,33.906914,-118.08339,Rally’s,Fast Food Restaurant,Norwalk
141,90650,Norwalk,33.906914,-118.08339,Suhwon BBQ,Korean Restaurant,Norwalk
142,90650,Norwalk,33.906914,-118.08339,Northgate Gonzalez Markets,Supermarket,Norwalk
147,90650,Norwalk,33.906914,-118.08339,Outback Steakhouse,Steakhouse,Norwalk
148,90650,Norwalk,33.906914,-118.08339,Tacos Los Gueros,Mexican Restaurant,Norwalk
150,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
152,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
156,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
157,90650,Norwalk,33.906914,-118.08339,McDonald's,Fast Food Restaurant,Norwalk
162,90650,Norwalk,33.906914,-118.08339,Starbucks,Coffee Shop,Norwalk
163,90650,Norwalk,33.906914,-118.08339,Yoshinoya,Donburi Restaurant,Norwalk
168,90650,Norwalk,33.906914,-118.08339,In-N-Out Burger,Fast Food Restaurant,Norwalk
169,90650,Norwalk,33.906914,-118.08339,Stater Bros. Markets,Grocery Store,Norwalk
170,90650,Norwalk,33.906914,-118.08339,7-Eleven,Convenience Store,Norwalk
171,90650,Norwalk,33.906914,-118.08339,Taco Bell,Fast Food Restaurant,Norwalk
